"sensor_index","year","month","day","hour","avg_pm","avg_rh","avg_temp","pm2.5_corrected"
183479,2025,7,30,0,6.488,45.8,75.5,5.201752
183479,2025,7,30,1,6.15933333333333,48,74.0333333333333,4.83989066666667
183479,2025,7,30,2,5.50103448275862,50.2068965517241,73,4.3047075862069
183479,2025,7,30,3,5.60354838709677,52.8709677419355,71.741935483871,4.12878193548387
183479,2025,7,30,4,5.39866666666667,55.2,70.8666666666667,3.82066133333333
183479,2025,7,30,5,5.94766666666667,56.3333333333333,70.3,4.010644
183479,2025,7,30,6,5.84810344827586,59,69.8965517241379,3.72860620689655
183479,2025,7,30,7,7.41596774193548,58.7096774193548,70.9354838709677,4.57519290322581
183479,2025,7,30,8,7.39533333333333,56.8333333333333,72.5666666666667,4.72612133333333
183479,2025,7,30,9,5.88966666666667,54.7666666666667,74.1666666666667,4.11529866666667
183479,2025,7,30,10,9.23775862068966,48.0689655172414,78.0344827586207,6.44704068965517
183479,2025,7,30,11,9.85322580645161,41.6774193548387,82.5806451612903,7.32049677419355
183479,2025,7,30,12,10.3795,36.1666666666667,85.7666666666667,8.07129133333333
183479,2025,7,30,13,10.2778333333333,35.5333333333333,87.3666666666667,8.07261133333333
183479,2025,7,30,14,11.6731034482759,31.6206896551724,90.551724137931,9.14100275862069
183479,2025,7,30,15,10.7482258064516,29.6129032258065,91.3870967741936,8.82943806451613
183479,2025,7,30,16,7.24816666666667,27.9333333333333,91.9666666666667,7.140186
183479,2025,7,30,17,7.45433333333333,30.9666666666667,90.1666666666667,6.986744
183479,2025,7,30,18,8.04568965517241,31.7241379310345,89.9655172413793,7.23132068965517
183479,2025,7,30,19,7.63338709677419,33.0645161290323,88.3870967741936,6.8997335483871
183479,2025,7,30,20,7.60483333333333,38.0333333333333,83.7,6.45645933333333
183479,2025,7,30,21,8.09416666666667,40.1666666666667,81.7666666666667,6.52897666666667
183479,2025,7,30,22,6.60931034482759,41.551724137931,81,5.63152
