"ID","radius_m","total_imp","total_canopy","mean_treeht_ft","total_conifers","total_nonconifer","n_trees"
"GRIT14",800,166309371.591475,325706.585319213,29.3350419296664,824,6939,7763
"GRIT15",5,7174.19859624727,0,NA,0,0,0
"GRIT15",10,159183423.395029,0,NA,0,0,0
"GRIT15",25,159190113.146327,55.6986442023117,16.444,0,4,4
"GRIT15",50,159231952.4655,1302.47984775298,29.8809393939394,6,27,33
"GRIT15",100,159306254.665939,7125.21659779117,38.7548169934641,38,115,153
"GRIT15",200,159624831.493811,24387.7084967206,36.3752914171657,125,376,501
"GRIT15",400,161066335.79687,77160.2513095279,31.6558400755124,344,1510,1854
"GRIT15",800,167045886.927469,318019.588692193,34.7357516845026,1394,6175,7569
"GRIT16",5,2634.28220951183,19.7521140881727,48.513,0,1,1
"GRIT16",10,159181549.97058,109.574087519548,38.146,0,4,4
"GRIT16",25,159189499.579644,279.381386052638,33.91315,0,10,10
"GRIT16",50,159232276.447012,1410.85786782047,37.4479705882353,6,28,34
"GRIT16",100,159321537.552913,4768.16175768016,34.2977178217822,13,88,101
"GRIT16",200,159619601.275676,21313.6182699188,40.1317768421053,114,361,475
"GRIT16",400,161538654.982391,81320.7451854888,34.206765854896,394,1577,1971
"GRIT16",800,166129922.389888,349948.177356425,41.1617949892883,1926,6476,8402
"GRIT17",5,1660.99066537216,0,NA,0,0,0
"GRIT17",10,2260.15759132657,0,NA,0,0,0
"GRIT17",25,13793.0855024389,6.43460272310767,11.91,0,2,2
"GRIT17",50,159209914.90149,1296.75294091478,34.5265652173913,4,19,23
"GRIT17",100,159546034.126696,6420.93998804766,32.6670769230769,24,119,143
"GRIT17",200,160119057.430337,15871.6481981055,30.6882432762836,70,339,409
"GRIT17",400,161616261.486966,59637.6739242215,30.6260777559055,246,1278,1524
"GRIT17",800,166612407.154732,283260.787328545,31.8376895363858,1131,5836,6967
"GRIT18",5,18836.7991184363,35.3942256315186,36.88,0,1,1
"GRIT18",10,20547.7172123118,124.7865318425,31.217,0,4,4
"GRIT18",25,159203187.540191,315.893065375356,26.233,0,10,10
"GRIT18",50,159270703.901179,1093.91163333783,22.655696969697,2,31,33
"GRIT18",100,159362662.493812,4242.1967907932,31.9847540983607,9,113,122
"GRIT18",200,159838940.748149,19212.1060493968,28.2435863723608,52,469,521
"GRIT18",400,161262572.790451,73171.8796010432,26.3601890735146,172,1814,1986
"GRIT18",800,166773751.303903,365486.084717632,33.0676821223148,1063,7456,8519
"GRIT19",5,32928.2616315569,0,NA,0,0,0
"GRIT19",10,32928.2616315569,0,NA,0,0,0
"GRIT19",25,159209177.458064,131.623415606187,23.3413,0,5,5
"GRIT19",50,159247697.396432,674.312969638999,21.1367142857143,0,28,28
"GRIT19",100,159338235.210782,3194.29503617415,27.6326964285714,8,76,84
"GRIT19",200,160063577.213885,17047.3672551563,34.011743315508,71,303,374
"GRIT19",400,160938962.098905,87557.6775726155,41.969817535545,426,1473,1899
"GRIT19",800,164493721.037597,331999.318967622,46.5432843443671,1586,5453,7039
"GRIT20",400,159401532.827755,9806.13938057765,64.1824108910891,46,156,202
"GRIT20",800,161820528.395227,159061.735737983,45.7574585359265,930,2772,3702
"GRIT21",5,159180200.852537,0,NA,0,0,0
"GRIT21",10,159182233.170004,4.7571526869142,NA,0,0,0
"GRIT21",25,159190156.242607,279.587901308816,70.318,3,2,5
"GRIT21",50,159232599.367198,663.275646695631,34.5468421052632,5,14,19
"GRIT21",100,159333927.446462,4089.44084102956,32.9086071428571,22,90,112
"GRIT21",200,159684717.660188,22937.7172108634,39.9218205357143,112,448,560
"GRIT21",400,160913103.331686,94549.3627912502,38.6599079981507,431,1732,2163
"GRIT21",800,166280654.865535,338408.460400085,33.6675178771646,1242,6785,8027
"GRIT22",5,2050.12203553571,22.289123912175,NA,0,0,0
"GRIT22",10,2886.93643261423,111.346676878871,22.313,0,2,2
"GRIT22",25,159193370.985854,508.511001985462,56.768375,2,2,4
"GRIT22",50,159245598.781175,1188.28608375792,40.4339722222222,5,13,18
"GRIT22",100,159334933.59618,4140.67690942737,37.6009782608696,21,71,92
"GRIT22",200,159640042.12358,21395.3791919822,37.8503235955056,96,349,445
"GRIT22",400,160942493.019057,84860.707530129,37.6326196098563,337,1611,1948
"GRIT22",800,166551980.854998,359737.860207591,38.2606753659707,1507,6827,8334
"GRIT23",5,24520.3965417691,2.02763196564047,12.66,0,1,1
"GRIT23",10,24520.3965417691,2.02763196564047,12.66,0,1,1
"GRIT23",25,68823.6005830912,2.02763196564047,12.66,0,1,1
"GRIT23",50,159264676.281626,166.20047691869,30.76175,0,4,4
"GRIT23",100,159346453.364722,3508.70576370624,26.6818837209302,8,78,86
"GRIT23",200,159566843.791631,18082.0208496774,30.5587471395881,56,381,437
"GRIT23",400,160869538.89751,79956.2458673684,31.9322947976879,272,1631,1903
"GRIT23",800,166413788.439222,321512.277703139,33.1815459137997,1148,6671,7819
"GRIT25",5,8748.57427987915,6.67858062923187,NA,0,0,0
"GRIT25",10,13714.9487701797,36.820511824546,21.34,0,1,1
"GRIT25",25,159196628.910554,179.129576444961,30.71325,1,3,4
"GRIT25",50,159230359.403991,831.615351964443,22.5924375,3,21,24
"GRIT25",100,159313074.888999,4673.36681705103,31.816546875,13,83,96
"GRIT25",200,159644420.89503,27654.2072685735,40.7700637755102,109,479,588
"GRIT25",400,160905329.108808,94625.0112740856,43.0094699507389,434,1596,2030
"GRIT25",800,167085091.310118,369908.389605157,38.763229684109,1555,6739,8294
"GRIT26",5,33218.8724962076,14.2812522040404,NA,0,0,0
"GRIT26",10,33218.8724962076,120.275956688667,60.04,0,3,3
"GRIT26",25,33218.8724962076,1170.46406752174,69.3376739130435,4,19,23
"GRIT26",50,159437629.382001,2763.1853445676,69.3491285714286,6,29,35
"GRIT26",100,159619477.742293,8140.3974860399,82.6218443396226,33,73,106
"GRIT26",200,166859255.040409,31960.9356306851,72.0515216346154,124,292,416
"GRIT26",400,169628036.223289,105993.376165811,59.7243246835443,397,1183,1580
"GRIT26",800,175911946.470826,292215.495338198,45.2027282309808,1062,4393,5455
"GRIT31",10,159190239.449672,36.1831143686795,22.698,0,1,1
"GRIT31",25,159194522.285447,193.358151766158,19.6399375,0,8,8
"GRIT31",50,159228762.713259,1353.31744184917,26.121,5,31,36
"GRIT31",100,159381962.44287,4929.09550826942,22.2088590604027,12,137,149
"GRIT31",200,159743853.706122,20481.0848770788,23.6770187687688,63,603,666
"GRIT31",400,160689602.579439,167168.54349347,48.2179460190672,611,3270,3881
"GRIT31",800,165061578.647775,628522.580200243,52.0997955217423,2164,11703,13867
"GRIT33",10,15288.7015704752,142.113671606701,24.921,0,2,2
"GRIT33",25,159197192.837053,349.619547646802,20.0773636363636,3,8,11
"GRIT33",50,159221259.871847,986.565950135082,19.094725,6,34,40
"GRIT33",100,159334323.949187,6591.27443346775,36.5078085714286,24,151,175
"GRIT33",200,159551222.110478,46803.2956662934,60.2990399082569,211,879,1090
"GRIT33",400,160497440.925683,207179.342068323,64.4272678132678,803,3674,4477
"GRIT33",800,165814400.455317,562711.114319835,48.0314470163436,1858,11297,13155
"GRIT34",5,2957.42647190309,0,NA,0,0,0
"GRIT34",10,5633.42461534861,45.2138668583211,NA,0,0,0
"GRIT34",25,6013.92610634621,1055.35893063649,43.2522884615385,6,20,26
"GRIT34",50,6013.92610634621,6369.01841379868,76.2605040322581,53,71,124
"GRIT34",100,13915.4779776419,26611.2569900113,70.9262983706721,197,294,491
"GRIT34",200,159227253.470929,98758.7460704458,58.9137761270492,587,1365,1952
"GRIT34",400,161655238.590227,259482.91999142,61.5001794897152,1781,3275,5056
"GRIT34",800,168003028.495649,582803.514039373,48.9998257101405,3441,9655,13096
"GRIT35",5,10916.1188142872,31.2470017435699,NA,0,0,0
"GRIT35",10,10916.1188142872,144.055803589188,21.784,0,3,3
"GRIT35",25,159193626.231782,585.016697275762,37.52455,0,10,10
"GRIT35",50,159212293.981873,2481.2092385696,35.81375,2,46,48
"GRIT35",100,159341234.15814,5395.16362131925,26.8979375,6,138,144
"GRIT35",200,159696178.711362,21975.3483597332,28.1478879003559,57,505,562
"GRIT35",400,161099419.78807,87802.495220979,27.8746484978541,275,2055,2330
"GRIT35",800,166788858.060643,368686.166993128,31.651142226712,1311,8093,9404
"GRIT36",5,18413.1023071056,4.00649825412256,NA,0,0,0
"GRIT36",10,23925.3430670358,54.0651844147069,41.096,0,2,2
"GRIT36",25,34775.5617949042,599.455483402693,42.7316111111111,4,14,18
"GRIT36",50,7298239.28423715,2837.68985777145,41.2506339285714,10,46,56
"GRIT36",100,7370479.77777817,17083.8103557569,42.7464661971831,62,293,355
"GRIT36",200,7588355.98858545,56421.4754154494,41.8336167736758,234,1012,1246
"GRIT36",400,8924327.96912018,138996.316347127,37.8283846270928,504,2781,3285
"GRIT36",800,172484252.505793,575072.469378821,39.3655709997691,2098,10895,12993
"Manitou Park Elementary School",5,53884.8235580021,0,NA,0,0,0
"Manitou Park Elementary School",10,53884.8235580021,0,NA,0,0,0
"Manitou Park Elementary School",25,113136.056373379,8.15025308661279,NA,0,0,0
"Manitou Park Elementary School",50,159289385.252806,592.371805224568,36.93096875,1,15,16
"Manitou Park Elementary School",100,159435091.563221,5997.0009293341,57.3736725663717,33,80,113
"Manitou Park Elementary School",200,159771147.779378,22786.9669499707,57.9736466512702,138,295,433
"Manitou Park Elementary School",400,162021740.613908,96655.432524715,42.5726349614396,386,1559,1945
"Manitou Park Elementary School",800,170567813.517389,319059.69511759,36.1861358361775,1305,6020,7325
"N Tacoma N 9th and Stevens",5,3310.18832126549,0,NA,0,0,0
"N Tacoma N 9th and Stevens",10,3310.18832126549,0,NA,0,0,0
"N Tacoma N 9th and Stevens",25,159192689.84889,390.76414409147,21.3141363636364,2,9,11
"N Tacoma N 9th and Stevens",50,159214821.710731,1112.58284898733,23.8471481481481,5,22,27
"N Tacoma N 9th and Stevens",100,159328068.846702,4067.86334754586,22.5342603305785,10,111,121
"N Tacoma N 9th and Stevens",200,159753089.930143,17378.9514759656,25.146462745098,58,452,510
"N Tacoma N 9th and Stevens",400,161332278.276259,64735.2181071887,25.2626095041322,192,1744,1936
"N Tacoma N 9th and Stevens",800,167903982.793642,323743.382683197,30.9409790369935,1282,7233,8515
"Seabury School",5,9432.74443427502,0,NA,0,0,0
"Seabury School",10,25544.8765667988,0,NA,0,0,0
"Seabury School",25,27805.9854948852,151.677638242185,31.8943333333333,1,2,3
"Seabury School",50,5363005.5584631,1679.5309298008,26.84075,6,36,42
"Seabury School",100,5452704.81358447,8402.34256440994,33.5176799065421,30,184,214
"Seabury School",200,5795492.91052448,39767.443302811,40.3460359477124,156,762,918
"Seabury School",400,7231060.27629933,119282.397371789,35.4697004267892,463,2583,3046
"Seabury School",800,12474262.2052647,576226.088020172,38.1792233982699,2159,12060,14219
"Tacoma Center YMCA",5,35153.193237927,0,NA,0,0,0
"Tacoma Center YMCA",10,35153.193237927,0,NA,0,0,0
"Tacoma Center YMCA",25,159252786.227687,2.92483471363084,16.308,0,1,1
"Tacoma Center YMCA",50,159441405.456316,90.2009934915986,19.66975,1,9,10
"Tacoma Center YMCA",100,159677681.513103,2865.84859961479,29.5347134831461,5,84,89
"Tacoma Center YMCA",200,160656855.876894,10048.2375163882,31.9006967509025,22,255,277
"Tacoma Center YMCA",400,163434923.978024,43244.2418141611,29.951684441198,103,1266,1369
"Tacoma Center YMCA",800,176439790.340207,180598.219035196,30.553648625753,463,4849,5312
