WptNo,Hobo_SN,Pole_No,Location,DBH_cm,DistFromLogger_m,Species,,,,
40,21223105,NA,South Tacoma Wetland 1,52.6,6,Pseudotsuga,,,,
40,21223105,NA,South Tacoma Wetland 1,7.5,0,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,4,1,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,3,0.5,Crataegus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,2,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,25,3,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,3.5,4,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,4,4,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,20.8,7,Pseudotsuga,,,,
40,21223105,NA,South Tacoma Wetland 1,2,8,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,9,8,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,4.6,8,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,4,4,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,2,4,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,10,3,Arbutus,,,,
40,21223105,NA,South Tacoma Wetland 1,64.7,10,Pseudotsuga,,,,
40,21223105,NA,South Tacoma Wetland 1,33.5,4,Pseudotsuga,,,,
40,21223105,NA,South Tacoma Wetland 1,3,7,Holodiscus,,,,
40,21223105,NA,South Tacoma Wetland 1,6,3,Arbutus,,,,
41,9784509,NA,South Tacoma Wetland 2,5,9,Prunus,,,,
41,9784509,NA,South Tacoma Wetland 2,76.4,4,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,54,5,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,2,9,Unknwn,,,,
41,9784509,NA,South Tacoma Wetland 2,52,4,Pseudotsuga,,,,
41,9784509,NA,South Tacoma Wetland 2,8,5,Arbutus,,,,
