WptNo,Hobo_SN,Pole_No,Location,Install_Date,Install_Time,Data_collection_StartDate,Data_collection_StartTime,LoggingInterval,Shield?,Winter2021Notes,Spring2022DownloadDate,Summer2022DownloadDate,Fall2022Download Date,ReplacementHobo_SN,Winter2023DownloadDate,Spring2023DownloadRelaunchDate,Spring2023LoggingInterval,Data_collection_EndDate,Data_collection_EndTime,Logger Removed Date,Notes
26,21223111,TP4182 06040,45th at Cedar,1/13/2022,11:10:00,1/11/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,11:00:00,,
26,21162232,TP4182 06040,45th at Cedar,1/13/2022,11:10:00,1/11/2022,14:00:00,1 hour,No,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,11:00:00,,
26,BT21616961,TP4182 06040,45th at Cedar,3/31/2023,11:45:00,3/31/2023,12:00:00,1 min,Yes,,NA,,NA,,NA,NA,1 min,,,,
27,21223124,TP24199/A1566119,Junette @ 45th ,1/13/2022,11:30:00,1/11/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,3/31/2023,14:00:00,,
27,BT21616933,TP24199/A1566119,Junette @ 45th ,3/31/2023,14:05:00,3/31/2023,15:00:00,1 min,Yes,,NA,NA,NA,,NA,NA,1 min,,,,
28,21223107,TP20001/A1341143,Junette between 43rd and 45th ,1/13/2022,11:40:00,1/11/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,1/6/2023,NA,NA,1/6/2023,,,
28,BT21302969,TP20001/A1341145,Junette between 43rd and 45th ,3/31/2023,13:50:00,3/31/2023,14:00:00,1 min,Yes,,NA,NA,NA,,1/6/2023,NA,1 min,,,,
29,21223125,TP32711/A0572122,Junette between 43rd and 45th ,1/13/2022,11:15:00,1/13/2022,14:00:00,1 hour,Yes,,8-Apr-22,,9/29/2022,,,NA,NA,1/6/2023,,,
29,BT21302980,TP32711/A0572122,Junette between 43rd and 45th ,1/6/2023,,1/6/2023,,1 hour,Yes,,NA,,NA,,1/6/2023,4/28/2023,1 min,,,,
30,21119940,14998/A1928583,Outside Tacoma schools,12/16/2021,11:46:00,12/16/2021,14:00:00,1 hour,No,logger not there on 3/8/2022,NA,,NA,,NA,NA,NA,3/31/2023,13:00:00,,
